Débitos,Ano,Couro,Volume_motor,Km,Cilindros,Portas,Rodas,Airbags,Preco,Numero_proprietarios,Adesivos_personalizados,Historico_troca_oleo,Classificacao_Veiculo,Combustivel_gasolina,Combustivel_gás natural,Combustivel_hibrido,Categoria_cupê,Categoria_hatchback,Categoria_limousine,Categoria_microonibus,Categoria_minivan,Categoria_picape,Categoria_sedan,Categoria_suv,Categoria_universal,Categoria_vagao de carga,Turbo,Tipo_cambio_manual,Tipo_cambio_tiptronic,Tipo_cambio_variator,Tração_dianteira,Tração_traseira,AM,FM,Cor_azul,Cor_bege,Cor_branco,Cor_cinza,Cor_dourado,Cor_laranja,Cor_marrom,Cor_prata,Cor_preto,Cor_rosa,Cor_roxo,Cor_verde,Cor_vermelho,Fabricante_alfa romeo,Fabricante_audi,Fabricante_bmw,Fabricante_buick,Fabricante_cadillac,Fabricante_chevrolet,Fabricante_chrysler,Fabricante_citroen,Fabricante_daewoo,Fabricante_daihatsu,Fabricante_dodge,Fabricante_ferrari,Fabricante_fiat,Fabricante_ford,Fabricante_gaz,Fabricante_gmc,Fabricante_haval,Fabricante_honda,Fabricante_hummer,Fabricante_hyundai,Fabricante_infiniti,Fabricante_isuzu,Fabricante_jaguar,Fabricante_jeep,Fabricante_kia,Fabricante_lancia,Fabricante_land rover,Fabricante_lexus,Fabricante_lincoln,Fabricante_maserati,Fabricante_mazda,Fabricante_mercedes-benz,Fabricante_mercury,Fabricante_mini,Fabricante_mitsubishi,Fabricante_moskvich,Fabricante_nissan,Fabricante_opel,Fabricante_peugeot,Fabricante_porsche,Fabricante_renault,Fabricante_rover,Fabricante_saab,Fabricante_scion,Fabricante_seat,Fabricante_skoda,Fabricante_ssangyong,Fabricante_subaru,Fabricante_suzuki,Fabricante_toyota,Fabricante_uaz,Fabricante_vaz,Fabricante_volkswagen,Fabricante_volvo,Fabricante_zaz,Fabricante_სხვა
1399,2010,1,3.5,186005.0,6,1,23,12,13328.0,1,1,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1018,2011,0,3.0,139929.0,6,1,14,8,16621.0,5,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2006,0,1.3,200000.0,4,1,17,2,8467.0,1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,2011,1,2.5,168966.0,4,1,15,0,3607.0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,2014,1,1.3,91901.0,4,1,28,4,11726.0,2,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891,2016,1,2.0,160931.0,4,1,20,4,39493.0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,2010,1,1.8,258909.0,4,1,21,12,1803.0,2,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2007,1,3.5,128500.0,6,1,25,12,26657.0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1999,0,4.0,182500.0,8,0,4,0,8781.0,5,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1997,0,1.6,350000.0,4,1,26,4,3000.0,4,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
